 Metabolite_name	RefMet_name	P01-01-4749	P01-02-4750	P02-01-4751	P02-02-4752	P03-01-4753	P03-02-4754	P04-01-4755	P04-02-4756	P05-01-4757	P05-02-4758	P06-01-4759	P06-02-4760	P07-01-4761	P07-02-4762	P08-01-4763	P08-02-4764	P09-01-4765	P09-02-4766	P10-01-4767	P10-02-4768	P11-01-4769	P11-02-4770	P12-01-4771	P12-02-4772	P13-01-4773	P13-02-4774	P14-01-4775	P14-02-4776	P15-01-4777	P15-02-4778	P16-01-4779	P16-02-4780
Factors	-	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer
Cytidine monophosphate	CMP	2598	2192	864	1218	896	862	3450	3686	974	1094	380	326	1096	1198	890	1244	734	878	1170	1148	456	428	478	522	1120	462	854	1026	892	646	2064	1862
Cytosine	Cytosine	6456	5280	3160	4272			428	3030	4678	20094	1090		3218	3372	6362	6782	2506	5420		9324			15654	13648	11118	2250	3020	3098	4048	5366	1522	1300
D-Alanine	D-Alanine	2780	1784	2048	2110	2138	2788	1292	1220	1424	1190	1432	1320	1712	2300	832	890	1334	1402	960	1250	1354	1670	9732	9356	1500	276	646	756	4362	3494	3318	1950
DCMP	dCMP	1990	1898	762	1186	180	298		126	362	1010	222		240		1892	2406			304	2698	200	104	124		1290	826		92	3238	298		112
Deoxyadenosine	Deoxyadenosine	1868	1858	382	5228	1146	1256	352	400	2746	1234	994	640	1108	318	1814	552	1766	2478	2572	606	772	744	4806	5950	11346	272	722	684	836	5410		510
Deoxyguanosine	Deoxyguanosine		4334		35746	2378	168	68178	98	5486		1640	552	4952	306	1600	3782	2898	202	14006		692	728	61858	68490		300	188	8882		5844	396	7270
Deoxyinosine	Deoxyinosine	3910	3572	1926	2182		208	436	328	1318	1828	736	704			4592	4230			2298	2776	1690	2048	3508	3740	2814	208	282	264	6710	7942		208
Diaminopimelic acid	Diaminopimelic acid	2454	1796	486	556	662	576	434	570	538	468	192	114	668	882	2606	2522	246	166	380	476	724	374	4142	3634	1556		140		4310	4676	358	294
Dihydrothymine	Dihydrothymine	12526	9332	18478	18626	710	804	6630	7224	656	598	1308	1252	406	696	1008	1436	1456	1576	1158	1372	1116	1136	2066	2052	1388	528	144	352	5114	3990	548	138
Dimethyl sulfone	Dimethyl sulfone	932	692		82	1544	1130	2798	17540	1848	1524	1176	1278	900	1112	566	324	92	164	414	468	1134	1010	1344	1052	2616	154	858	828		608	1112	1242
DL-2-aminooctanoic acid	2-Aminocaprylic acid	13298	11066	8378	10630	1590	1716	2202	14334	2042	2402	2542	2892	1308	1744	1552	1636	1506	1754	1252	1404	10774	9916	24434	30126	4898	314	656	1042	9340	10630	184	730
D-Serine	D-Serine	9494	8860	2212	2264	6304	6870	774	782	7852	6712	2338	2332	8614	8740	354	408	9184	10548	740	814	2412	2922	1006	936	7210	204	2834	3228	3850	4296	128	140
Elaidic acid	Elaidic acid	958	988	864	1054	1010	1204	1440	1578	1490	2284	1684	1434	1928	1960	1850	2282	2104	2406	2188	2006	1790	1714	2054	286	2126	2810	2256	2272	3064		1934	2252
Estriol	Estriol	3932	4014	792		400			626	214	572	500	592	494	274	1780	1084		130	1882	2220	4434	3646	2264	3340	660	172			7648	7622	158	
Ethanolamine	Ethanolamine	1374	1102	778	766	952	1178	7218	7902	1362	906	944	902	992	998	918	964	822	912	978	1064	886	1092	1430		762	736	804	800	1006	1014	750	944
Gluconic acid	Gluconic acid	1472	1576			8568	9728							3838	4324			36148	38600	218			62	17946	12948			398	322	386	604		
Glycerol	Glycerol	3970	2986	1242	1678	2734	1384	988	2416	9966	1438	2048	1434	642	1226		5972	5450	6802		9446	1646	1908	548			236		3082	16670	18428	3560	3286
